Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Best Of Tinkle: 10 Tinkle Digests (1980 - 2008) : Where Learning Meets Fun,আমার চিত্র কথা প্রা. লি.,"","TK. 1,584",https://rokomari.com//book/152830/best-of-tinkle--10-tinkle-digests--1980---2008----where-learning-meets-fun,"",Best Of Tinkle: 10 Tinkle Digests (1980 - 2008) : Where Learning Meets Fun,"Amar Chitra Katha Pvt. Ltd.,Amar Chitra Kotha", , ,Amar Chitra Katha Pvt. Ltd.,9781000003123,"1st Edition,2014",960,India,English
The Complete Collection Volume 2,আমার চিত্র কথা প্রা. লি.,"","TK. 8,820",https://rokomari.com//book/178095/the-complete-collection-volume-2,"",The Complete Collection Volume 2,Amar Chitra Katha Pvt. Ltd., , ,Amar Chitra Katha Pvt. Ltd.,9789350853443, , ,India,English
