Title,URL
অমিনলাইন.কে,https://www.rokomari.com//book/publisher/8419/-omionline-ca?ref=apb_pg0_p17
পরশ মেডিকেল পাবলিশার,https://www.rokomari.com//book/publisher/3060/paras-medical-publisher?ref=apb_pg0_p18
রান্ড এন্ড কো,https://www.rokomari.com//book/publisher/5587/-rand-and-co?ref=apb_pg0_p19
রিপলিকা প্রেস প্রাঃ লিঃ,https://www.rokomari.com//book/publisher/964/replika-press-pvt--ltd-?ref=apb_pg0_p20
সি. চাঁদ এন্ড কোম্পানি লি.,https://www.rokomari.com//book/publisher/5781/s--chand-and-company-ltd-?ref=apb_pg0_p21
শান্তি পাবলিকেশন্স,https://www.rokomari.com//book/publisher/9616/shanti-publications?ref=apb_pg0_p22
সৈয়দা রহমাতুন্নেসা (রোসি),https://www.rokomari.com//book/publisher/3610/syeda-rahmatunnessa--rosy-?ref=apb_pg0_p23
টেরাকোটা ক্রিয়েটিভ্‌স,https://www.rokomari.com//book/publisher/6643/teraracotta-creatives?ref=apb_pg0_p24
 টি লাইট ইঙ্ক,https://www.rokomari.com//book/publisher/4801/-the-light-inc?ref=apb_pg0_p25
টুনটুন বুকস,https://www.rokomari.com//book/publisher/8695/toontoon-books?ref=apb_pg0_p26
ভিনটেজ চিল্ড্রেনস ক্লাসিকস,https://www.rokomari.com//book/publisher/8012/-vintage-children-s-classics?ref=apb_pg0_p27
ইয়েলো কীটে,https://www.rokomari.com//book/publisher/6351/-yellow-kite?ref=apb_pg0_p28
০১০ ইউটিগেভেজ (ভারত),https://www.rokomari.com//book/publisher/7660/010-uitgeverij--india-?ref=apb_pg0_p29
১ টু ৯৯ পাবলিকেশন্স ঢাকা,https://www.rokomari.com//book/publisher/9104/1-to-99-publication-dhaka?ref=apb_pg0_p30
১০০ পেইজ সামারাইজ,https://www.rokomari.com//book/publisher/6843/100-page-summaries?ref=apb_pg0_p31
১০০১ ইনভেনশনস,https://www.rokomari.com//book/publisher/6716/1001-inventions?ref=apb_pg0_p32
১২ মিডিয়া সার্ভিসেস (ভারত),https://www.rokomari.com//book/publisher/8383/12th-media-services--india-?ref=apb_pg0_p33
ফার্স্ট ওয়ার্ল্ড লাইব্রেরি - লিটারারি সোসাইটি,https://www.rokomari.com//book/publisher/4765/1st-world-library---literary-society?ref=apb_pg0_p34
ফার্স্ট ওয়ার্ল্ড পাবলিশিং,https://www.rokomari.com//book/publisher/7537/1st-world-publishing?ref=apb_pg0_p35
১এক্স১ মিডিয়া (ভারত),https://www.rokomari.com//book/publisher/8449/1x1-media--india-?ref=apb_pg0_p36
৪৭ নর্থর্ (ভারত),https://www.rokomari.com//book/publisher/7697/47north--india-?ref=apb_pg0_p37
৫ পিলার্স পাবলিশিং,https://www.rokomari.com//book/publisher/6426/5--pillars-publishing?ref=apb_pg0_p38
৫০০ ওয়ার্ডস লি.,https://www.rokomari.com//book/publisher/8249/500-words-ltd?ref=apb_pg0_p39
৫২ (বায়ান্ন),https://www.rokomari.com//book/publisher/9226/52--bayanno-?ref=apb_pg0_p40
এ এন্ড এ পাবলিশার্স (ভারত)),https://www.rokomari.com//book/publisher/6718/a-and-a-publishers--india-?ref=apb_pg0_p41
এ এন্ড সি ব্লাক পাবলিশার্স লি.,https://www.rokomari.com//book/publisher/4693/a-and-c-black-publishers-ltd?ref=apb_pg0_p42
এ অ্যাণ্ড ইউ একাডেমিক (ইউএসএ),https://www.rokomari.com//book/publisher/9575/a-and-u-academic--usa-?ref=apb_pg0_p43
এ বি পাবলিকেশন (ভারত),https://www.rokomari.com//book/publisher/5981/a-b-publication--india-?ref=apb_pg0_p44
এ বেনটাম ট্রেড পেপারব্যাক,https://www.rokomari.com//book/publisher/2494/a-bantam-trade-paperback?ref=apb_pg0_p45
এ বাট্টারওর্থ-হেইনেম্যানন টাইটেল,https://www.rokomari.com//book/publisher/8668/a-butterworth-heinemann-title-?ref=apb_pg0_p46
এ সি এম আই প্রেস,https://www.rokomari.com//book/publisher/7441/a-c-m-i-pr-?ref=apb_pg0_p47
এ ডুমন্ত বুক,https://www.rokomari.com//book/publisher/7443/a-dumont-book-?ref=apb_pg0_p48
এ ডুমন্ট বুক,https://www.rokomari.com//book/publisher/7538/a-dumont-book?ref=apb_pg0_p49
আ ফ ম মাহবুবুল হক স্মৃতি সংসদ,https://www.rokomari.com//book/publisher/9962/a-f-m-mahbubul-huq-songsod?ref=apb_pg1_p0
এ ফায়ারসাইড বুক,https://www.rokomari.com//book/publisher/1100/a-fireside-book?ref=apb_pg1_p1
এ এইচ ডেভেলপমেন্ট পাবলিশিং হাউজ,https://www.rokomari.com//book/publisher/685/a-h-development-publishing-house?ref=apb_pg1_p2
এ হারপার কলিনস চিলড্রেণস বুকস,https://www.rokomari.com//book/publisher/1105/a-harper-collins-childrens-books?ref=apb_pg1_p3
এ মেঘনা পাবলিকেশন্স,https://www.rokomari.com//book/publisher/2127/a-magna-publication?ref=apb_pg1_p4
এ মেন্টর বুক,https://www.rokomari.com//book/publisher/8988/a-mentor-book?ref=apb_pg1_p5
এ পি পি (ভারত),https://www.rokomari.com//book/publisher/5186/a-p-p--india-?ref=apb_pg1_p6
এ প্রেস,https://www.rokomari.com//book/publisher/1159/a-press?ref=apb_pg1_p7
এ প্রমিনেন্স ইন পাবলিকেশন,https://www.rokomari.com//book/publisher/6259/a-prominnence-in-publication?ref=apb_pg1_p8
এ আর খান ট্রাস্ট্র,https://www.rokomari.com//book/publisher/2661/a-r-khan-trust?ref=apb_pg1_p9
এ শীগনেট বুট,https://www.rokomari.com//book/publisher/1091/a-signet-book?ref=apb_pg1_p10
এ স্লীক পাবলিকেশন্স,https://www.rokomari.com//book/publisher/3053/a-sleek-publication?ref=apb_pg1_p11
এ ডব্লিউ টি (ভারত),https://www.rokomari.com//book/publisher/7231/a-w-t--india-?ref=apb_pg1_p12
এ-ওয়ান পাবলিকেশন্স,https://www.rokomari.com//book/publisher/9503/a-one-publications?ref=apb_pg1_p13
"এ, এইচ পাবলিকেশন্স",https://www.rokomari.com//book/publisher/7347/a-h-publications?ref=apb_pg1_p14
