Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Living Sober,অ্যানোনিমাস,"","TK. 1,937",https://rokomari.com//book/164139/living-sober,"",Living Sober,Anonymous, , ,AA World Services (India),9780916856045,"1st edition,2002",87,India,English
Twelve Steps and Twelve Traditions,অ্যানোনিমাস,"","TK. 3,370",https://rokomari.com//book/164214/twelve-steps-and-twelve-traditions,"",Twelve Steps and Twelve Traditions,Anonymous, , ,AA World Services (India),9780916856014,"29th Edition,2002",192,India,English
