Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Getting the Blue Ribbon,জোন্স লফলিন,"","TK. 1,721",https://rokomari.com//book/135809/getting-the-blue-ribbon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a1159ec9eba4_135809.jpg,"",Getting the Blue Ribbon,Jones Loflin, , ,Elucidate Publishing,9780615523569,"1st Edition,2011",176,India,English
Always Growing: How To Be A Strong Leader In Any Season,জোন্স লফলিন,"","TK. 2,023",https://rokomari.com//book/135852/always-growing--how-to-be-a-strong-leader-in-any-season,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c083beaf6eb4_135852.jpg,"",Always Growing: How To Be A Strong Leader In Any Season,Jones Loflin, , ,Elucidate Publishing,9780976688235,"1st Edition,2017",144,India,English
