Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Human Resource Management ‍And Industrial Relations,ড. আবদুল আউয়াল খান,"",TK. 300,https://rokomari.com//book/73014/human-resource-management--and-industrial-relations,"",Human Resource Management ‍And Industrial Relations,"Dr. Abdul Awal Khan,Dr. M A Taher", , ,Abir Publications,984701460090,"5th edition,2018",228,Bangladesh,English
Key Terms Of Marketing ,মোঃ জাহিদুল আলম,"",TK. 150,https://rokomari.com//book/73020/key-terms-of-marketing,"",Key Terms Of Marketing,Md. Zahedul Alam, , ,Abir Publications, , , ,Bangladesh,English
Principles Of Finance,মোঃ কামরুজ্জামান,"",TK. 300,https://rokomari.com//book/73017/principles-of-finance,"",Principles Of Finance,Md. Kamruzzaman, , ,Abir Publications,9847014600090,"3rd Edition,2020",504,Bangladesh,English
Security Analysis and Portfolio Management,প্রফেসর ড. এম. আবু মিসির,TK. 250,TK. 228,https://rokomari.com//book/99821/security-analysis-and-portfolio-management,"",Security Analysis and Portfolio Management,Professor Dr. M. Abu Misir, , ,Abir Publications,9847014600123,"2nd Print,2017",296,Bangladesh,English
Fundamentals of Management,ড. আবদুল আউয়াল খান,"",TK. 250,https://rokomari.com//book/73012/fundamentals-of-management,"",Fundamentals of Management,"Dr. Abdul Awal Khan,Dr. Md. Manul Islam", , ,Abir Publications,9847014600048,"5th edition,2018",376,Bangladesh,English
Business Comunication and Report Writing ,ড. আবদুল আউয়াল খান,"",TK. 250,https://rokomari.com//book/73013/business-comunication-and-report-writing,"",Business Comunication and Report Writing,"Dr. Abdul Awal Khan,Dr. M A Taher", , ,Abir Publications, ,"4th edition,July 018", ,Bangladesh,English
Handbook Of Economics,মোঃ বদিউজ্জামান,TK. 250,TK. 228,https://rokomari.com//book/137344/handbook-of-economics,"",Handbook Of Economics,Md. Badiuzzaman, , ,Abir Publications,9847014600104,"1st Published,2017",440,Bangladesh,English
Industrial Relations,ড. আবদুল আউয়াল খান,"",TK. 200,https://rokomari.com//book/73015/industrial-relations,"",Industrial Relations,"Dr. Abdul Awal Khan,Dr. M A Taher", , ,Abir Publications, ,"2th edition,January 018", ,Bangladesh,English
Introduction to Business,এ.টি.এম ফাইজুল হক,"",TK. 170,https://rokomari.com//book/73016/introduction-to-business,"",Introduction to Business,"A.T.M. Faizul Haque,Md. Liton Ali", , ,Abir Publications, , , ,Bangladesh,English
অস্বাভাবিক মনোবিজ্ঞান,ড. কাজী সাইফুদ্দীন,TK. 250,TK. 238,https://rokomari.com//book/73023/oswavabik-monobiggan,"",অস্বাভাবিক মনোবিজ্ঞান,ড. কাজী সাইফুদ্দীন, , ,আবীর পাবলিকেশন্স,9847014600113,"3rd Edition,2016",319,বাংলাদেশ,বাংলা
Conflict Management And Negotiation,মোঃ আবু তাহের ,TK. 225,TK. 205,https://rokomari.com//book/78886/conflict-management-and-negotiation,"",Conflict Management And Negotiation,"Md. Abu Taher,Dr. Abdul Awal Khan,Md. Masum Billah", , ,Abir Publications, , , ,Bangladesh,English
Business Mathematics,ড. মো. আবু তাহের,TK. 300,TK. 273,https://rokomari.com//book/113953/business-mathematics,"",Business Mathematics,Dr. Md. Abu Taher, , ,Abir Publications,9847014600027,"5th Edition,2019",464,Bangladesh,English
পরীক্ষণ মনোবিজ্ঞান ও গবেষণা পদ্ধতি,ড. কাজী সাইফুদ্দীন,TK. 200,TK. 190,https://rokomari.com//book/73024/check-psychology-and-research-methods,"",পরীক্ষণ মনোবিজ্ঞান ও গবেষণা পদ্ধতি,"ড. কাজী সাইফুদ্দীন,ড. নাজমুল আহসান খান", , ,আবীর পাবলিকেশন্স, ,3rd Edition, ,বাংলাদেশ,বাংলা
Theory And Practices Of Banking ,প্রফেসর ড. মোহাম্মদ কামরুজ্জামান,TK. 200,TK. 182,https://rokomari.com//book/169537/------------------------------------,"",Theory And Practices Of Banking,প্রফেসর ড. মোহাম্মদ কামরুজ্জামান, , ,আবীর পাবলিকেশন্স,98470146000144,"1st Published,2018",464,বাংলাদেশ,বাংলা
An Introduction to Bangladesh Economy,আফরিন জাহান,TK. 200,TK. 182,https://rokomari.com//book/153141/an-introduction-to-bangladesh-economy,"",An Introduction to Bangladesh Economy,Afrin Jahan, , ,Abir Publications,9847014600105,"1st Published,2017",160,Bangladesh,English
An Introduction To Health Psychology,ড. কাজী সাইফুদ্দীন,TK. 200,TK. 182,https://rokomari.com//book/174682/an-introduction-to-health-psychology,"",An Introduction To Health Psychology,Dr. Kazi Saifuddin, , ,Abir Publications,9847014600154,"1st Published,2019",272,Bangladesh,English
চিকিৎসা মনোবিজ্ঞান,ড. কাজী সাইফুদ্দীন,TK. 200,TK. 176,https://rokomari.com//book/201712/clinical-psychology,"",চিকিৎসা মনোবিজ্ঞান,ড. কাজী সাইফুদ্দীন, , ,আবীর পাবলিকেশন্স,9847014600113,"1st Published,2020",224,বাংলাদেশ,বাংলা
মৌলিক পরিসংখ্যান,দুলাল চন্দ্র রায়,TK. 250,TK. 238,https://rokomari.com//book/204752/moulik-porisonkkhyan--basic-statistics-,"",মৌলিক পরিসংখ্যান,"দুলাল চন্দ্র রায়,মনীন্দ্র কুমার রায়", , ,আবীর পাবলিকেশন্স,9789849502111,"1st Published,2020",528,বাংলাদেশ,বাংলা
Business Mathematics,ডা. এ.এ.কে. মজুমদার,TK. 300,TK. 285,https://rokomari.com//book/202642/business-mathematics,"",Business Mathematics,Dr. A.A.K. Majumdar, , ,Abir Publications,9847014600114,"1st Published,2020",384,Bangladesh,English
নির্বাচিত নিবন্ধমালা স্বদেশ-বিদেশ-রাষ্ট্র-সমাজ (জুলাই ২০১৬-জুন ২০১৮),মোঃ মইনুল ইসলাম,TK. 300,TK. 273,https://rokomari.com//book/179833/nibrichito-nibondhomala-swadesh-bidesh-rashtro-somaj--july-2016-jun-2018-,"",নির্বাচিত নিবন্ধমালা স্বদেশ-বিদেশ-রাষ্ট্র-সমাজ (জুলাই ২০১৬-জুন ২০১৮),মোঃ মইনুল ইসলাম, , ,আবীর পাবলিকেশন্স,9847014600023,"1st Published,2019",160,বাংলাদেশ,বাংলা
Two-Person Game Theory,ডা. এ.এ.কে. মজুমদার,TK. 150,TK. 143,https://rokomari.com//book/202640/two-person-game-theory,"",Two-Person Game Theory,Dr. A.A.K. Majumdar, , ,Abir Publications,98470146000111,"1st Published,2020",136,Bangladesh,English
Linear Programming,ডা. এ.এ.কে. মজুমদার,TK. 250,TK. 238,https://rokomari.com//book/202641/linear-programming,"",Linear Programming,Dr. A.A.K. Majumdar, , ,Abir Publications,98470146000112,"1st Published,2020",360,Bangladesh,English
ফিরে দেখা নিজেকে,আব্দুল আউয়াল খান,TK. 200,TK. 190,https://rokomari.com//book/202806/fire-dekha-nijeke,"",ফিরে দেখা নিজেকে,আব্দুল আউয়াল খান, , ,আবীর পাবলিকেশন্স,9847014600143,"1st Published,2020",80,বাংলাদেশ,বাংলা
An Introduction to Sociological Thought,প্রফেসর মোঃ মকবুল হোসেন,TK. 285,TK. 200,https://rokomari.com//book/201721/an-introduction-to-sociological-thought,"",An Introduction to Sociological Thought,Prof. MD. Maqbul Hossain, , ,Abir Publications,9847014600118,"1st Published,2020",480,Bangladesh,English
পড়ন্ত বয়সে সুখের সন্ধানে,ড. আবদুল আউয়াল খান,TK. 100,TK. 91,https://rokomari.com//book/181797/poronto-boyose-sukher-sondhane,"",পড়ন্ত বয়সে সুখের সন্ধানে,ড. আবদুল আউয়াল খান, , ,আবীর পাবলিকেশন্স,9847014600133,"1st Published,2019",48,বাংলাদেশ,বাংলা
গবেষণা পদ্ধতি,ড. কাজী সাইফুদ্দীন,TK. 300,TK. 285,https://rokomari.com//book/208091/gobeshona-poddhoti,"",গবেষণা পদ্ধতি,ড. কাজী সাইফুদ্দীন, , ,আবীর পাবলিকেশন্স,9789849502159,"1st Published,2021",384,বাংলাদেশ,বাংলা
শ্রমিক শ্রেণী - মে দিবস ও শিল্প সম্পর্কের গতিধারা,ড. মো. আবু তাহের,TK. 300,TK. 285,https://rokomari.com//book/206783/sromik-sreeni---may-dibos-o-shilpo-somporker-gotidhara,"",শ্রমিক শ্রেণী - মে দিবস ও শিল্প সম্পর্কের গতিধারা,ড. মো. আবু তাহের, , ,আবীর পাবলিকেশন্স,9789849502135,"1st Published,2020",256,বাংলাদেশ,বাংলা
সময়ের জলছাপ,ড. মো. আবু তাহের,TK. 200,TK. 190,https://rokomari.com//book/206147/shomoyer-jalchap,"",সময়ের জলছাপ,ড. মো. আবু তাহের, , ,আবীর পাবলিকেশন্স,9789849502128,"1st Published,2020",112,বাংলাদেশ,বাংলা
HRM  Cases,ড. মো. আবু তাহের,TK. 200,TK. 190,https://rokomari.com//book/206148/hrm--cases,"",HRM  Cases,Dr. Md. Abu Taher, , ,Abir Publications,9789849502142,"1st Published,2020",160,Bangladesh,English
