Title,Author,Original Price,Discounted Price,URL
ফাঁসির মঞ্চে তেরজন,আনোয়ার কবীর,৩০০.০০ টাকা,২৪০.০০ টাকা,https://www.prothoma.com/product/7463/%E0%A6%AB%E0%A6%BE%E0%A6%81%E0%A6%B8%E0%A6%BF%E0%A6%B0-%E0%A6%AE%E0%A6%9E%E0%A7%8D%E0%A6%9A%E0%A7%87-%E0%A6%A4%E0%A7%87%E0%A6%B0%E0%A6%9C%E0%A6%A8
মধ্যযুগের বাঙলা গীতি কবিতা,মুহম্মদ আবদুল হাই,২৮০.০০ টাকা,২২৪.০০ টাকা,https://www.prothoma.com/product/7465/%E0%A6%AE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%AF%E0%A7%81%E0%A6%97%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%B2%E0%A6%BE-%E0%A6%97%E0%A7%80%E0%A6%A4%E0%A6%BF-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE
রান্না খাদ্য পুষ্টি (PB) বড়,অধ্যাপিকা সিদ্দিকা কবীর,৪২৫.০০ টাকা,৩৪০.০০ টাকা,https://www.prothoma.com/product/7281/%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%BE-%E0%A6%96%E0%A6%BE%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%AA%E0%A7%81%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BF-%28pb%29-%E0%A6%AC%E0%A6%A1%E0%A6%BC
প্রকৃতি ও প্রেমের কবিতা সমগ্র,নির্মলেন্দু গুণ,৩৫০.০০ টাকা,২৮০.০০ টাকা,https://www.prothoma.com/product/7238/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A7%83%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0
দুঃখপরী সুখপরী,আনিসুল হক,৮০.০০ টাকা,৬৪.০০ টাকা,https://www.prothoma.com/product/7118/%E0%A6%A6%E0%A7%81%E0%A6%83%E0%A6%96%E0%A6%AA%E0%A6%B0%E0%A7%80-%E0%A6%B8%E0%A7%81%E0%A6%96%E0%A6%AA%E0%A6%B0%E0%A7%80
বাংলাদেশের জেলা-উপজেলার নামকরণ ও ঐতিহ্য,মোহাম্মদ নূরুজ্জামান,৪০০.০০ টাকা,৩২০.০০ টাকা,https://www.prothoma.com/product/5950/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE-%E0%A6%89%E0%A6%AA%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A6%BE%E0%A6%AE%E0%A6%95%E0%A6%B0%E0%A6%A3-%E0%A6%93-%E0%A6%90%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A7%8D%E0%A6%AF
আধুনিক ইউরোপের ইতিহাস,ড. সৈয়দ মাহমুদুল হাসান,৩০০.০০ টাকা,২৪০.০০ টাকা,https://www.prothoma.com/product/5948/%E0%A6%86%E0%A6%A7%E0%A7%81%E0%A6%A8%E0%A6%BF%E0%A6%95-%E0%A6%87%E0%A6%89%E0%A6%B0%E0%A7%8B%E0%A6%AA%E0%A7%87%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8
ইতিহাসের ঝর্ণাধ্বনি - সন্তোষ গুপ্ত,সন্তোষ গুপ্ত,১০০.০০ টাকা,৮০.০০ টাকা,https://www.prothoma.com/product/5892/%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%9D%E0%A6%B0%E0%A7%8D%E0%A6%A3%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AC%E0%A6%A8%E0%A6%BF---%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8B%E0%A6%B7-%E0%A6%97%E0%A7%81%E0%A6%AA%E0%A7%8D%E0%A6%A4-1
সমাজ ও সমাজতত্ত্ব,আবদুশ শাকুর,৩০০.০০ টাকা,২৪০.০০ টাকা,https://www.prothoma.com/product/5875/%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C-%E0%A6%93-%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%9C%E0%A6%A4%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%AC-1
ভারতে মুসলিম শাসন-ব্যবস্থার ইতিহাস,এ. কে. এম. আবদুল আলীম,২৫০.০০ টাকা,২০০.০০ টাকা,https://www.prothoma.com/product/5856/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87-%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%B2%E0%A6%BF%E0%A6%AE-%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A6%A8-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8
