Title,Author,Original Price,Discounted Price,URL,Image
উর্বশী রোদের ছায়াবাজি,আরিফুর রহমান,১৭৫.০০ টাকা,১৩১.২৫ টাকা,https://www.prothoma.com/product/10064/%E0%A6%89%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%B6%E0%A7%80-%E0%A6%B0%E0%A7%8B%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%9B%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/02/60225658b21ab_1612863064.jpg
চলচ্চিত্রবিষয়ক প্রবন্ধ,শাহাদৎ রুমন,২৭০.০০ টাকা,২০২.৫০ টাকা,https://www.prothoma.com/product/10065/%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A6%AF%E0%A6%BC%E0%A6%95-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A6%A8%E0%A7%8D%E0%A6%A7,https://image.prothoma.com/productThumbs/2021/02/602256595a1bd_1612863065.jpg
তথাগত,শাহযাদ ফিরদাউস,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/10063/%E0%A6%A4%E0%A6%A5%E0%A6%BE%E0%A6%97%E0%A6%A4,https://image.prothoma.com/productThumbs/2021/02/602256582b4c1_1612863064.jpg
সুখ পোরানো ছাই,মনোয়ার মোকাররম,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/10062/%E0%A6%B8%E0%A7%81%E0%A6%96-%E0%A6%AA%E0%A7%8B%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A7%8B-%E0%A6%9B%E0%A6%BE%E0%A6%87,https://image.prothoma.com/productThumbs/2021/02/602256579263a_1612863063.jpg
১০০ প্রেমের কবিতা,আবু হাসান শাহরিয়ার,২৫০.০০ টাকা,১৮৭.৫০ টাকা,https://www.prothoma.com/product/8938/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A7%87%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/602252d6a069d_1612862166.jpg
বিশ্বসেরা ৫০ চলচ্চিত্র,মুম রহমান,২৬০.০০ টাকা,১৯৫.০০ টাকা,https://www.prothoma.com/product/8770/%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%B8%E0%A7%87%E0%A6%B0%E0%A6%BE-%E0%A7%AB%E0%A7%A6-%E0%A6%9A%E0%A6%B2%E0%A6%9A%E0%A7%8D%E0%A6%9A%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/02/60225167acf96_1612861799.jpg
আমার আর কোথাও যাওয়ার নেই,সাদাত হোসাইন,১৬০.০০ টাকা,১২০.০০ টাকা,https://www.prothoma.com/product/8558/%E0%A6%86%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%86%E0%A6%B0-%E0%A6%95%E0%A7%8B%E0%A6%A5%E0%A6%BE%E0%A6%93-%E0%A6%AF%E0%A6%BE%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A7%87%E0%A6%87,https://image.prothoma.com/productThumbs/2021/02/602250fadbcf2_1612861690.jpg
আমি একদিন নিখোঁজ হবো,সাদাত হোসাইন,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/8554/%E0%A6%86%E0%A6%AE%E0%A6%BF-%E0%A6%8F%E0%A6%95%E0%A6%A6%E0%A6%BF%E0%A6%A8-%E0%A6%A8%E0%A6%BF%E0%A6%96%E0%A7%8B%E0%A6%81%E0%A6%9C-%E0%A6%B9%E0%A6%AC%E0%A7%8B,https://image.prothoma.com/productThumbs/2021/02/602250f9d405b_1612861689.jpg
যেতে চাইলে যেও,সাদাত হোসাইন,১৬০.০০ টাকা,১২০.০০ টাকা,https://www.prothoma.com/product/8556/%E0%A6%AF%E0%A7%87%E0%A6%A4%E0%A7%87-%E0%A6%9A%E0%A6%BE%E0%A6%87%E0%A6%B2%E0%A7%87-%E0%A6%AF%E0%A7%87%E0%A6%93,https://image.prothoma.com/productThumbs/2021/02/602250fa6c668_1612861690.jpg
মামুনুর রশীদ থিয়েটারের পথে,মামুন রশীদ,"১,০০০.০০ টাকা",৭৫০.০০ টাকা,https://www.prothoma.com/product/7240/%E0%A6%AE%E0%A6%BE%E0%A6%AE%E0%A7%81%E0%A6%A8%E0%A7%81%E0%A6%B0-%E0%A6%B0%E0%A6%B6%E0%A7%80%E0%A6%A6-%E0%A6%A5%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%9F%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AA%E0%A6%A5%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/60224ae10a10c_1612860129.jpg
