title,author,original_price,discounted_price,url,image,summary,title_in_specification,author_in_specification,translator_in_specification,editor_in_specification,publisher_in_specification,isbn_in_specification,edition_in_specification,number_of_pages_in_specification,country_in_specification,language_in_specification
সব মুখোশ খুলে পড়ে,আনিসুর রহমান,150.00,120.00,https://www.prothoma.com/product/9498/%E0%A6%B8%E0%A6%AC-%E0%A6%AE%E0%A7%81%E0%A6%96%E0%A7%8B%E0%A6%B6-%E0%A6%96%E0%A7%81%E0%A6%B2%E0%A7%87-%E0%A6%AA%E0%A6%A1%E0%A6%BC%E0%A7%87,https://image.prothoma.com/productThumbs/2021/02/60225418c4f24_1612862488.jpg, , , , , , , , , , , 
স্পর্শ,জসিম মল্লিক,175.00,140.00,https://www.prothoma.com/product/9499/%E0%A6%B8%E0%A7%8D%E0%A6%AA%E0%A6%B0%E0%A7%8D%E0%A6%B6,https://image.prothoma.com/productThumbs/2021/02/602254198b5c0_1612862489.jpg, , , , , , , , , , , 
শামসুর রাহমানের গল্প,শামসুর রাহমান,150.00,120.00,https://www.prothoma.com/product/9497/%E0%A6%B6%E0%A6%BE%E0%A6%AE%E0%A6%B8%E0%A7%81%E0%A6%B0-%E0%A6%B0%E0%A6%BE%E0%A6%B9%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%97%E0%A6%B2%E0%A7%8D%E0%A6%AA,https://image.prothoma.com/productThumbs/2021/02/60225417eb043_1612862487.jpg, , , , , , , , , , , 
সেরা রাঁধনির টুইস্ট,হুমায়রা রায়হানা খান নীলা,800.00,640.00,https://www.prothoma.com/product/9496/%E0%A6%B8%E0%A7%87%E0%A6%B0%E0%A6%BE-%E0%A6%B0%E0%A6%BE%E0%A6%81%E0%A6%A7%E0%A6%A8%E0%A6%BF%E0%A6%B0-%E0%A6%9F%E0%A7%81%E0%A6%87%E0%A6%B8%E0%A7%8D%E0%A6%9F,https://image.prothoma.com/productThumbs/2021/02/60225417224ff_1612862487.jpg, , , , , , , , , , , 
সায়েন্স ফিকশন সমগ্র ১ - দীপু মাহমুদ,দীপু মাহমুদ,525.00,420.00,https://www.prothoma.com/product/9495/%E0%A6%B8%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%B8-%E0%A6%AB%E0%A6%BF%E0%A6%95%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A7%A7---%E0%A6%A6%E0%A7%80%E0%A6%AA%E0%A7%81-%E0%A6%AE%E0%A6%BE%E0%A6%B9%E0%A6%AE%E0%A7%81%E0%A6%A6,https://image.prothoma.com/productThumbs/2021/02/60225416486b9_1612862486.jpg, , , , , , , , , , , 
সায়েন্স ফিকশন সমগ্র - আসিফ মেহেদী,আসিফ মেহেদী,500.00,400.00,https://www.prothoma.com/product/9493/%E0%A6%B8%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%B8-%E0%A6%AB%E0%A6%BF%E0%A6%95%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0---%E0%A6%86%E0%A6%B8%E0%A6%BF%E0%A6%AB-%E0%A6%AE%E0%A7%87%E0%A6%B9%E0%A7%87%E0%A6%A6%E0%A7%80,https://image.prothoma.com/productThumbs/2021/02/60225414f2ceb_1612862484.jpg, , , , , , , , , , , 
সায়েন্স ফিকশন সমগ্র ২ - দীপু মাহমুদ,দীপু মাহমুদ,525.00,420.00,https://www.prothoma.com/product/9494/%E0%A6%B8%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%B8-%E0%A6%AB%E0%A6%BF%E0%A6%95%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%AE%E0%A6%97%E0%A7%8D%E0%A6%B0-%E0%A7%A8---%E0%A6%A6%E0%A7%80%E0%A6%AA%E0%A7%81-%E0%A6%AE%E0%A6%BE%E0%A6%B9%E0%A6%AE%E0%A7%81%E0%A6%A6,https://image.prothoma.com/productThumbs/2021/02/60225415a73ad_1612862485.jpg, , , , , , , , , , , 
স্বপ্নবাজ,মোস্তফা কামাল,175.00,140.00,https://www.prothoma.com/product/9491/%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%AA%E0%A7%8D%E0%A6%A8%E0%A6%AC%E0%A6%BE%E0%A6%9C,https://image.prothoma.com/productThumbs/2021/02/60225413d15ad_1612862483.jpg, , , , , , , , , , , 
স্মরণে বিম্বরণে যাঁরা,তাজুল মোহাম্মদ,400.00,320.00,https://www.prothoma.com/product/9492/%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%B0%E0%A6%A3%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%AE%E0%A7%8D%E0%A6%AC%E0%A6%B0%E0%A6%A3%E0%A7%87-%E0%A6%AF%E0%A6%BE%E0%A6%81%E0%A6%B0%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/02/6022541460e2e_1612862484.jpg, , , , , , , , , , , 
সন্তানত্ব,মেহেদী হাসান,400.00,320.00,https://www.prothoma.com/product/9490/%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BE%E0%A6%A8%E0%A6%A4%E0%A7%8D%E0%A6%AC,https://image.prothoma.com/productThumbs/2021/02/602254134cae7_1612862483.jpg, , , , , , , , , , , 
