title,author,original_price,discounted_price,url,image,summary,title_in_specification,author_in_specification,translator_in_specification,editor_in_specification,publisher_in_specification,isbn_in_specification,edition_in_specification,number_of_pages_in_specification,country_in_specification,language_in_specification
ভালোবাসার হাট-বাজার,রাহিতুল ইসলাম,200.00,160.00,https://www.prothoma.com/product/11541/%E0%A6%AD%E0%A6%BE%E0%A6%B2%E0%A7%8B%E0%A6%AC%E0%A6%BE%E0%A6%B8%E0%A6%BE%E0%A6%B0-%E0%A6%B9%E0%A6%BE%E0%A6%9F-%E0%A6%AC%E0%A6%BE%E0%A6%9C%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/04/608aa1748ce9c_1619698036.jpg, , , , , , , , , , , 
লোকে কী বলবে?,"আয়মান সাদিক , সাকিব বিন রশীদ",255.00,204.00,https://www.prothoma.com/product/11458/%E0%A6%B2%E0%A7%8B%E0%A6%95%E0%A7%87-%E0%A6%95%E0%A7%80-%E0%A6%AC%E0%A6%B2%E0%A6%AC%E0%A7%87?,https://image.prothoma.com/productThumbs/2021/04/6084fb5beed0b_1619327835.jpg, , , , , , , , , , , 
পারাবত,তানভীর রাফি,200.00,160.00,https://www.prothoma.com/product/10463/%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%AC%E0%A6%A4,https://image.prothoma.com/productThumbs/2021/03/60546ccde02c7_1616145613.jpg, , , , , , , , , , , 
আম্মার বাগান,ফেরদৌস আরা রুমী,160.00,128.00,https://www.prothoma.com/product/10462/%E0%A6%86%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A6%BE%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%97%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/03/60546c4e84abd_1616145486.jpg, , , , , , , , , , , 
কীয়েক্টাবস্থা,মোস্তাকুর রহমান,340.00,272.00,https://www.prothoma.com/product/10461/%E0%A6%95%E0%A7%80%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%95%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%AC%E0%A6%B8%E0%A7%8D%E0%A6%A5%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/03/605468771e790_1616144503.jpg, , , , , , , , , , , 
হারকিউলিসের বারো অভিযান,নির্ঝর রুথ ঘোষ,200.00,160.00,https://www.prothoma.com/product/10460/%E0%A6%B9%E0%A6%BE%E0%A6%B0%E0%A6%95%E0%A6%BF%E0%A6%89%E0%A6%B2%E0%A6%BF%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8B-%E0%A6%85%E0%A6%AD%E0%A6%BF%E0%A6%AF%E0%A6%BE%E0%A6%A8,https://image.prothoma.com/productThumbs/2021/03/6054680328ce9_1616144387.jpg, , , , , , , , , , , 
"বাংলাদেশ, অর্থনীতির ৫০ বছর",ফয়েজ আহমদ তৈয়্যব,600.00,480.00,https://www.prothoma.com/product/10459/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B6-%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A7%AB%E0%A7%A6-%E0%A6%AC%E0%A6%9B%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/03/6054677dd8a1a_1616144253.jpg, , , , , , , , , , , 
আহমেরিকা,আনোয়ার ইকবাল,500.00,400.00,https://www.prothoma.com/product/10458/%E0%A6%86%E0%A6%B9%E0%A6%AE%E0%A7%87%E0%A6%B0%E0%A6%BF%E0%A6%95%E0%A6%BE,https://image.prothoma.com/productThumbs/2021/03/605466b904d27_1616144057.jpg, , , , , , , , , , , 
ঠিক-বেঠিক মার্কেটিং,গালীব বিন মোহাম্মদ,240.00,192.00,https://www.prothoma.com/product/10457/%E0%A6%A0%E0%A6%BF%E0%A6%95-%E0%A6%AC%E0%A7%87%E0%A6%A0%E0%A6%BF%E0%A6%95-%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A7%87%E0%A6%9F%E0%A6%BF%E0%A6%82,https://image.prothoma.com/productThumbs/2021/03/605465c18d877_1616143809.jpg, , , , , , , , , , , 
ভবঘুরের দিনপঞ্জি,অমৃতা পারভেজ,300.00,240.00,https://www.prothoma.com/product/10456/%E0%A6%AD%E0%A6%AC%E0%A6%98%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A6%AA%E0%A6%9E%E0%A7%8D%E0%A6%9C%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/03/6054651578c6a_1616143637.jpg, , , , , , , , , , , 
