title,author,original_price,discounted_price,url,image,summary,title_in_specification,author_in_specification,translator_in_specification,editor_in_specification,publisher_in_specification,isbn_in_specification,edition_in_specification,number_of_pages_in_specification,country_in_specification,language_in_specification
মহামারীর ইতিহাস,মো: আদনান আরিফ সালিম,480.00,384.00,https://www.prothoma.com/product/11328/%E0%A6%AE%E0%A6%B9%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%B0-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/04/607bd03148e86_1618726961.jpg, , , , , , , , , , , 
নাহজুল বালাগাহ,নাভিদ ইসকান্দার,270.00,216.00,https://www.prothoma.com/product/10782/%E0%A6%A8%E0%A6%BE%E0%A6%B9%E0%A6%9C%E0%A7%81%E0%A6%B2-%E0%A6%AC%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%97%E0%A6%BE%E0%A6%B9,https://image.prothoma.com/productThumbs/2021/03/605c3216addee_1616654870.jpg, , , , , , , , , , , 
ইয়াসির আরাফাত : অ্যা পলিটিক্যাল বায়োগ্রাফি,"হাসান বায়েজীদ, ব্যারি রুবিন, জুডিথ কল্প রুবিন",500.00,400.00,https://www.prothoma.com/product/10682/%E0%A6%87%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B8%E0%A6%BF%E0%A6%B0-%E0%A6%86%E0%A6%B0%E0%A6%BE%E0%A6%AB%E0%A6%BE%E0%A6%A4-:-%E0%A6%85%E0%A7%8D%E0%A6%AF%E0%A6%BE-%E0%A6%AA%E0%A6%B2%E0%A6%BF%E0%A6%9F%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2-%E0%A6%AC%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%8B%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AB%E0%A6%BF,https://image.prothoma.com/productThumbs/2021/03/605acb3fda490_1616563007.jpg, , , , , , , , , , , 
উইংস অব ফায়ার,"এ. পি. জে. আবদুল কালাম, প্রমিত হোসেন",200.00,160.00,https://www.prothoma.com/product/10681/%E0%A6%89%E0%A6%87%E0%A6%82%E0%A6%B8-%E0%A6%85%E0%A6%AC-%E0%A6%AB%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0,https://image.prothoma.com/productThumbs/2021/03/605ac9be20382_1616562622.jpg, , , , , , , , , , , 
ওয়ার ক্রাই,"উইলবার স্মিথ, ডেভিড চার্চিল",450.00,360.00,https://www.prothoma.com/product/10680/%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%87,https://image.prothoma.com/productThumbs/2021/03/605ac9040c0ba_1616562436.jpg, , , , , , , , , , , 
ওয়াইফ অব শার্লক হোমস,তানযীলা তারাইয়্যান,200.00,160.00,https://www.prothoma.com/product/10679/%E0%A6%93%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%87%E0%A6%AB-%E0%A6%85%E0%A6%AC-%E0%A6%B6%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%B2%E0%A6%95-%E0%A6%B9%E0%A7%8B%E0%A6%AE%E0%A6%B8,https://image.prothoma.com/productThumbs/2021/03/605ac81458bce_1616562196.jpg, , , , , , , , , , , 
তুমি রবে নীরবে,সাকিব রায়হান,300.00,240.00,https://www.prothoma.com/product/10678/%E0%A6%A4%E0%A7%81%E0%A6%AE%E0%A6%BF-%E0%A6%B0%E0%A6%AC%E0%A7%87-%E0%A6%A8%E0%A7%80%E0%A6%B0%E0%A6%AC%E0%A7%87,https://image.prothoma.com/productThumbs/2021/03/6059e576c0c51_1616504182.jpg, , , , , , , , , , , 
তোমাকে দেখার অসুখ,সাদাত হোসাইন,180.00,144.00,https://www.prothoma.com/product/10677/%E0%A6%A4%E0%A7%8B%E0%A6%AE%E0%A6%BE%E0%A6%95%E0%A7%87-%E0%A6%A6%E0%A7%87%E0%A6%96%E0%A6%BE%E0%A6%B0-%E0%A6%85%E0%A6%B8%E0%A7%81%E0%A6%96,https://image.prothoma.com/productThumbs/2021/03/6059e4dc0053e_1616504028.jpg, , , , , , , , , , , 
দ্য টিন ড্রাম,"প্রমিত হোসেন, গুন্টার গ্রাস",350.00,280.00,https://www.prothoma.com/product/10676/%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%9F%E0%A6%BF%E0%A6%A8-%E0%A6%A1%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%AE,https://image.prothoma.com/productThumbs/2021/03/6059e44e8ccb7_1616503886.jpg, , , , , , , , , , , 
দ্য নেমসেক,ঝুম্পা লাহিড়ী,200.00,160.00,https://www.prothoma.com/product/10675/%E0%A6%A6%E0%A7%8D%E0%A6%AF-%E0%A6%A8%E0%A7%87%E0%A6%AE%E0%A6%B8%E0%A7%87%E0%A6%95,https://image.prothoma.com/productThumbs/2021/03/6059e12de5e82_1616503085.jpg, , , , , , , , , , , 
