Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
American Gods,নিল গেইম্যান,"",TK. 718,https://rokomari.com//book/186557/american-gods,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2ec2bcb4f_186557.jpg,"",American Gods,Neil Gaiman, , ,Headline (India),9780747263746,"1st Edition,2002",736,India,English
The Good Children,রুপা ফারুকি,"","TK. 1,512",https://rokomari.com//book/193637/the-good-children,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/630fe1e68_193637.jpg,"",The Good Children,Roopa Farooki, , ,Headline (India),9780755383429, , ,USA,English
