Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
হযরত শাহ জালাল রহ.,মাওলানা নোমান আহমদ রহ.,TK. 120,TK. 72,https://rokomari.com//book/153396/hozrot-shah-jalal-rh-,"",হযরত শাহ জালাল রহ.,"মাওলানা নোমান আহমদ রহ.,মুফতী বখতিয়ার হোসাইন সরদার", ,মাওলানা নোমান আহমদ রহ.,আল মাহমুদ প্রকাশন,9847027800067,"3rd Edition,2016",112,বাংলাদেশ,বাংলা
ওপেন চ্যালেঞ্জ,মাওলানা সুমসুজ্জামান মারজান,TK. 120,TK. 72,https://rokomari.com//book/150437/open-challenge,"",ওপেন চ্যালেঞ্জ,মাওলানা সুমসুজ্জামান মারজান, , ,আল মাহমুদ প্রকাশন, ,"1st Published,2017",112,বাংলাদেশ,বাংলা
স্বরূপ সন্ধানে,মাওলানা নাসীম আরাফাত,TK. 120,TK. 72,https://rokomari.com//book/150439/swarup-sondhane,"",স্বরূপ সন্ধানে, ,মাওলানা নাসীম আরাফাত,হাফেজ মাওলানা মুস্তফা মাহমূদী,আল মাহমুদ প্রকাশন, ,"3rd Edition,2016",120,বাংলাদেশ,বাংলা
প্রথম বিজয়,সাদেক হোসাইন সিদ্দিকী,TK. 300,TK. 180,https://rokomari.com//book/153389/prothom-bijoy,"",প্রথম বিজয়,সাদেক হোসাইন সিদ্দিকী, , ,আল মাহমুদ প্রকাশন, ,"1st Published,2015",271,বাংলাদেশ,বাংলা
খতীবে মিল্লাত উবায়দুল হক জীবন ও কর্ম,মাওলানা উবায়দুল হক,TK. 340,TK. 204,https://rokomari.com//book/153500/khatibe-millat-obaidul-haque-jibon-o-kormo,"",খতীবে মিল্লাত উবায়দুল হক জীবন ও কর্ম,মাওলানা উবায়দুল হক, , ,আল মাহমুদ প্রকাশন, , , ,বাংলাদেশ,বাংলা
আহকামুস সুন্নাহ,মুফতী মাওলানা মনসূরুল হক,TK. 320,TK. 192,https://rokomari.com//book/150440/ahkamus-sunnah,"",আহকামুস সুন্নাহ,মুফতী মাওলানা মনসূরুল হক, ,মুফতী মীযানুর রহমান কাসেমী,আল মাহমুদ প্রকাশন, ,"1st Edition,2016",399,বাংলাদেশ,বাংলা
নির্বাচিত বয়ান,মাওলানা তারিক জামিল,TK. 170,TK. 102,https://rokomari.com//book/153388/nirbachito-bowan,"",নির্বাচিত বয়ান,মাওলানা তারিক জামিল, ,মাওলানা মুহাম্মদ নূরুল্লাহ,আল মাহমুদ প্রকাশন,9847060061,"6th Edition,2012",208,বাংলাদেশ,বাংলা
নারী তোমার জন্য এই পৃথিবী ধন্য,মুনীরুল ইসলাম,TK. 180,TK. 108,https://rokomari.com//book/153391/nari-tomar-jonno-ei-prithibi-dhonno,"",নারী তোমার জন্য এই পৃথিবী ধন্য,মুনীরুল ইসলাম, , ,আল মাহমুদ প্রকাশন, ,"1st Published,2017",160,বাংলাদেশ,বাংলা
ঐতিহাসিক উপন্যাস ইয়াসরিবের ইবলিস,আসলাম রাহী,TK. 200,TK. 120,https://rokomari.com//book/153392/oitihasik-uponnas-eyasoriber-eblis,"",ঐতিহাসিক উপন্যাস ইয়াসরিবের ইবলিস,আসলাম রাহী,জামিল আহমাদ, ,আল মাহমুদ প্রকাশন, ,"1st Published,2015",160,বাংলাদেশ,বাংলা
ইছলাহুর রুসূম বা প্রচলিত কুসংস্কার সংশোধন,মাওলানা মুহাম্মদ নূরুল্লাহ,TK. 150,TK. 132,https://rokomari.com//book/153393/echolahur-rusum-ba-procholito-kusongskar-songshodhon,"",ইছলাহুর রুসূম বা প্রচলিত কুসংস্কার সংশোধন, ,মাওলানা মুহাম্মদ নূরুল্লাহ,মুহাম্মদ মুরশিদুল হাসান দৌলতপুরী,আল মাহমুদ প্রকাশন, ,"1st Published,2012",160,বাংলাদেশ,বাংলা
বিন্দু বিহীন বর্ণে মহানবী (সা),মাওলানা নূরুদ্দীন ফতেহপুরী,TK. 100,TK. 60,https://rokomari.com//book/154177/bindu-bihin-borne-mohanobi--sm--,"",বিন্দু বিহীন বর্ণে মহানবী (সা),মাওলানা নূরুদ্দীন ফতেহপুরী, , ,আল মাহমুদ প্রকাশন, ,"2nd Edition,2012",112,বাংলাদেশ,বাংলা
কুরবানী ইতিহাস ফাযাইল ও মাসাইল,হযরত মাওলানা মুফতী মুহাম্মদ শফী (রহ.),TK. 80,TK. 48,https://rokomari.com//book/154178/kurbani-itihas-fajail-o-masail,"",কুরবানী ইতিহাস ফাযাইল ও মাসাইল,"হযরত মাওলানা মুফতী মুহাম্মদ শফী (রহ.),মুফতী মুহাম্মদ রফী উসমানী",কামরুল হাসান রাহমানী, ,আল মাহমুদ প্রকাশন, ,"2nd Edition,2015",79,বাংলাদেশ,বাংলা
গ্রহণ করুন আপনার আমানত,মাওলানা কালিম সিদ্দিকী,TK. 30,TK. 18,https://rokomari.com//book/153047/grohon-korun-apnar-amanot,"",গ্রহণ করুন আপনার আমানত,মাওলানা কালিম সিদ্দিকী,মাওলানা মোহাম্মদ আনোয়ার এলাহী জাহিদ,মুফতী মোহাম্মদ নুরুল্লাহ,আল মাহমুদ প্রকাশন, ,"1st Published,2015",32,বাংলাদেশ,বাংলা
