Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Women in Agricultural Development,মিকেল পি. গ্রুভার,"","TK. 2,052",https://rokomari.com//book/60636/women-in-agricultural-development,"The book on women in Agricultural development has nineteen chapters that deal with a number of issues, practices, technologies, experiments and strategies in the context of rural women and development.The book is divided into two sections The first section on Technologies and Practices has eight cvhapters dealing on issues of techonolgy genrration, gender analysis of knowledge and adoption level , drudgery perception, acceptability of drudgery reducing implements, agricultural practices , energy saving pattern, and management of renewable natural resources. The second edition on, Technology Dissemination, Empowerment and development has eleven chapters that cover aspects of training , Empowerment, agro processig for income generation, interventions for economic empowerment, technologies dessimination, gender and sustainable agriculture development , impact of agriculture extension progrrames.implication of agriculture extension and adapted training and visit system. Alarge no. of chapters are based on field studies and other discuss policy implication for change and development , especially among rural and farm women both in India and some other developing countries.

Contents : 
Preface
Section 1
TECHNOLOGIES AND PRACTICES
1. Women in Agriculture
2. Knowledge and Adoption Level among Gram Growers of Haryana
3. Drudgery Perception of Men and Women 
4. Acceptibility of Drudgery Reducing Farm Implements
5. Agro- Technologies for removal of Drudgery of Farm Women
6. Sericulture Practices among Tribal Women of Assam
7. Energy Usage Pattern in Rural Areas
8. Management of Renewable of Natural Resources
Section2
TECHNOLOGY DISSIMATION, EMPWERMENT AND DEVELOPMENT
9.Training
10. Empowerment of Rural Women Through Mushroom Production
11. Agro Processing 
12. Adoption Feasibility of Friut and Vegetable Processing Technologies by Farm Women
13. Training Needs of Women FArmers
14.Economic Empowerment Rural Women
15. Technology dissemination For Women in Agriculoture
16.Gender andn sustainable agricultureal development in Baangladesh
17. Impact of Agricultural Extension Programme
18. Role of women in Agricultur in Gambia
19. Adapted Training and Visit System of Extension in Zambia.
Subject Index",Women in Agricultural Development,Mikell P. Groover, , ,Agrotech Publishing  Academy,9788185680811,"1st,2004",415,India,English
Agri-Business ,সোমানি,"","TK. 2,700",https://rokomari.com//book/60637/agri-business,"",Agri-Business,Somani, , ,Agrotech Publishing  Academy,9788183211864,"1st,2010", ,India,English
Bio Pest Management (Entomopahogenic Nematodes Microbes and Bioagents) ,গুপ্ত এইচ. সি. এল. ইটি. এএল,"","TK. 2,850",https://rokomari.com//book/60638/bio-pest-management--entomopahogenic-nematodes-microbes-and-bioagents-,"",Bio Pest Management (Entomopahogenic Nematodes Microbes and Bioagents),GUPTA H. C. L. ET. AL, , ,Agrotech Publishing  Academy,9788183211680,"1st,2010", ,India,English
Vermicomposting and Vermiwash ,সোমানি,"","TK. 2,700",https://rokomari.com//book/60639/vermicomposting-and-vermiwash,"Vermicomposting and Vermiwash
Man made fertilizers have come to stay in the 20th Century for increasing demand of human population which has been further accentuated by the limited availability of additional fertile farm land. The pathway of productivity improvement followed so far has, however, been accompanied by an exponential increase in the consumption of non-renewable forms of energy.
Contents : 
Preface 
1. The Earthworm 
2. Behaviour of Earthworm 
3. Measurement of Earthworms
4. Earthworm: Natural Bioreacter
5. Vermiculture 
6. Description of Suitable Earthworm Species 
7. Requirements for Vermicomposting 
8. Culturing Techniques 
9. Vermicomposting
10. Vermicomposting Materials 
11. Phases of Vermicomposting 
12. Vermicomposting Schemes 
13. Predation, Parasitism, Pathogenesis and Competition 
14. Changes During vermicomposting 
15. Effect of Vermicomposting on Soil Properties 
16. How to Use Vermicompost 
17. Effect of Vermicompost on Crop Growth and Yield
18. Harmful Effects of Earthworms 
19. Vermiwash 
20. Economic Viability 
Glossary 
References 
Subject Index",Vermicomposting and Vermiwash,Somani, , ,Agrotech Publishing  Academy,9788183210881,"1st,2008",424,India,English
Vermiculture Technology in Tribal Social Systems ,জি. পি. ডি. ভিয়াস,"","TK. 1,260",https://rokomari.com//book/60643/vermiculture-technology-in-tribal-social-systems,"",Vermiculture Technology in Tribal Social Systems,G. P. D. Vyas, , ,Agrotech Publishing  Academy,9788183211796,"1st,2009", ,India,English
Integrated Pest Management of Horticultural Crops : A Colour Handbook ,ড. টিএসকেকে কিরণ প্র্যাট্রো,"","TK. 3,950",https://rokomari.com//book/60644/integrated-pest-management-of-horticultural-crops---a-colour-handbook,"",Integrated Pest Management of Horticultural Crops : A Colour Handbook,"Dr. TSKK Kiran Pratro,Dr. M. L. N. Reddy,Dr. B. Srivicasalu,Dr. N. Emmanuel,A. Dr. Sujatha,Dr. T Samuel . SK. Patro", , ,Agrotech Publishing  Academy,9789351243236,"1st,2015", ,India,English
Production and Management of Rainfed Fruit crops ,সানটাক,"","TK. 2,125",https://rokomari.com//book/60645/production-and-management-of-rainfed-fruit-crops,"This book exclusively on rainfed fruit crops is the first of its kind edited by an eminent scientists and is the after effect of a winter school conducted with the funds sanctioned by I.C.A.R. Country is receiving 1100 mm rainfll, its distribution is very erratic and uneven which leads to molsture scarcity and low crop productivity.
Contents : 
Foreword
Importance of Rainfed Fruit Crops
Special Adaptive features in Important Rainfed Fruit Crops
Major constraints in cultivation of Rainfed Fruit crops
Advances in Establishment of Rainfed Fruit crops
Advances in Establishment of Rainfed Fruit crops
Establishment and management of rainfed fruit orchards
Climatic Needs of Mango
Principles of Remote Sensing and its Applications in Rainfed Fruit Crops
Soil Testing, Plant analysis and diagnostic techniques in Rainfed fruit crops
etc...",Production and Management of Rainfed Fruit crops,Sontakke, , ,Agrotech Publishing  Academy,9788183210300,"1st,2006",288,India,English
Baby Corn ,থাভাপ্রাকাশ,"","TK. 5,400",https://rokomari.com//book/60646/baby-corn,"",Baby Corn,Thavaprakaash, , ,Agrotech Publishing  Academy,9788183210409,"1st,2006",112,India,English
Animal Husbandry: Objective Fundamentals ,এল লাল,"","TK. 3,000",https://rokomari.com//book/60647/animal-husbandry--objective-fundamentals,"",Animal Husbandry: Objective Fundamentals,L Lal, , ,Agrotech Publishing  Academy,9788183211710,"1st,2010",272,India,English
Agronomic Research Management ,এন আর দাশ,"","TK. 2,060",https://rokomari.com//book/60648/agronomic-research-management,"",Agronomic Research Management,N R Das, , ,Agrotech Publishing  Academy,9788183211130,"1st,2008",326,India,English
