Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Art of Landscape Photography,মার্ক বাউয়ের,"","TK. 1,901",https://rokomari.com//book/174817/the-art-of-landscape-photography,"",The Art of Landscape Photography,"Mark Bauer,Ross Hoddinott", , ,Ammonite Press,9781781450529,"1st Edition,2014",192,India,English
Mastering Composition: The Definitive Guide for Photographers,রিচার্ড গার্ভে উইলিয়ামস,"","TK. 3,721",https://rokomari.com//book/187680/mastering-composition--the-definitive-guide-for-photographers,"",Mastering Composition: The Definitive Guide for Photographers,Richard Garvey Williams, , ,Ammonite Press,9781781450635,"1st Edition,2014",176,India,English
